City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Buraidah,2020-12-01,887983.0,4,buraidah,1050511.0,802475.0,815796.0,1024870.0,,889594.0,139517.28540578758,903018.3333333334,122356.33074698938,872563.7142857143,137725.37823837972,12,-2.4492935982947064e-16,1.0,2020,12
Buraidah,2021-01-01,1076687.0,5,buraidah,887983.0,1050511.0,802475.0,769468.0,,913656.3333333334,125995.2552969092,880203.8333333334,106874.30232458438,874491.125,127625.40831941117,1,0.49999999999999994,0.8660254037844387,2021,13
Buraidah,2021-02-01,835974.0,4,buraidah,1076687.0,887983.0,1050511.0,954990.0,,1005060.3333333334,102233.17577642456,931407.0,116381.4476847577,896957.3333333334,137094.08774451216,2,0.8660254037844386,0.5000000000000001,2021,14
Buraidah,2021-03-01,972496.0,4,buraidah,835974.0,1076687.0,887983.0,815796.0,,933548.0,126660.2305816628,911571.0,121584.29590206128,890859.0,130684.2596175139,3,1.0,6.123233995736766e-17,2021,15
Buraidah,2021-04-01,918088.0,4,buraidah,972496.0,835974.0,1076687.0,802475.0,,961719.0,120717.83169441037,937687.6666666666,113455.03812817948,898280.5454545454,126397.8276983933,4,0.8660254037844387,-0.4999999999999998,2021,16
Buraidah,2021-05-01,1138484.0,5,buraidah,918088.0,972496.0,835974.0,1050511.0,689836.0,908852.6666666666,68727.96124819448,956956.5,94057.62325457728,899931.1666666666,120651.16852075755,5,0.49999999999999994,-0.8660254037844387,2021,17
Buraidah,2021-06-01,903060.0,4,buraidah,1138484.0,918088.0,972496.0,887983.0,1024870.0,1009689.3333333334,114809.00329387639,971618.6666666666,115882.78255145009,937318.5,119132.26874857131,6,1.2246467991473532e-16,-1.0,2021,18
Buraidah,2021-07-01,880083.0,4,buraidah,903060.0,1138484.0,918088.0,1076687.0,769468.0,986544.0,131798.26590664987,974131.5,113852.16423722476,927167.6666666666,116146.21611285204,7,-0.4999999999999997,-0.8660254037844388,2021,19
Buraidah,2021-08-01,1132761.0,5,buraidah,880083.0,903060.0,1138484.0,835974.0,954990.0,973875.6666666666,143017.17793444713,941364.1666666666,106486.50381793304,936385.5833333334,106479.8400923073,8,-0.8660254037844384,-0.5000000000000004,2021,20
Buraidah,2021-09-01,944996.0,4,buraidah,1132761.0,880083.0,903060.0,972496.0,815796.0,971968.0,139723.93234159987,990828.6666666666,116225.74370192975,951199.8333333334,120717.98680533626,9,-1.0,-1.8369701987210297e-16,2021,21
