Starting date;Indicator;Sectors;City;value (Multiple units)
2025-06-29;Value of Transactions Change %;Total;JEDDAH;6.81431624242248
2025-06-29;Value of Transactions Change %;Total;RIYADH;3.889559318501893
2025-06-29;Number of Transactions (In Thousand);Education;Total;112.0
2025-06-29;Number of Transactions (In Thousand);Health;Total;8002.0
2025-06-29;Number of Transactions (In Thousand);Recreation and Culture;Total;2324.0
2025-06-29;Number of Transactions (In Thousand);Other;Total;46887.0
2025-06-29;Number of Transactions Change %;Recreation and Culture;Total;2.514336127040141
2025-06-29;Number of Transactions Change %;Beverage and Food;Total;4.605899419729207
2025-06-29;Number of Transactions Change %;Transportation;Total;10.604490500863557
2025-06-22;Number of Transactions (In Thousand);Education;Total;118.0
2025-06-22;Number of Transactions Change %;Electronic & Electric Devices;Total;8.277254374158815
2025-06-22;Number of Transactions Change %;Furniture;Total;18.954248366013072
2025-06-22;Number of Transactions (In Thousand);Total;MADINA;8807.0
2025-06-22;Number of Transactions Change %;Total;ABHA;13.753675269519766
2025-06-22;Number of Transactions Change %;Total;KHOBAR;6.719552029864675
2025-06-22;Number of Transactions Change %;Total;OTHER;9.542824074074074
2025-06-22;Value of Transactions (In Thousand SAR);Total;TABOUK;278491.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;ABHA;195264.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;JEDDAH;1926092.0
2025-06-22;Value of Transactions Change %;Total;MAKKAH;20.18685683566331
2025-06-22;Value of Transactions Change %;Total;OTHER;32.63508526196616
2025-06-22;Value of Transactions (In Thousand SAR);Education;Total;212059.0
2025-06-22;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;182154.0
2025-06-22;Value of Transactions (In Thousand SAR);Gas Stations;Total;963503.0
2025-06-22;Value of Transactions Change %;Clothing and Footwear;Total;44.18484399970155
2025-06-22;Value of Transactions Change %;Construction & Building Materials;Total;7.872938623172917
2025-06-22;Value of Transactions Change %;Education;Total;9.723336110148137
2025-06-22;Value of Transactions Change %;Hotels;Total;28.27950498038032
2025-06-22;Value of Transactions Change %;Restaurants & Café;Total;22.132908667773645
2025-06-22;Value of Transactions Change %;Other;Total;26.354513286668514
2025-06-22;Value of Transactions Change %;Total;Total;24.40199225817675
2025-06-22;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1648868.0
2025-06-22;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;1886642.0
2025-06-22;Value of Transactions (In Thousand SAR);Other;Total;2683876.0
2025-06-22;Value of Transactions Change %;Electronic & Electric Devices;Total;16.910023298054643
2025-06-22;Value of Transactions Change %;Gas Stations;Total;18.43833972951644
2025-06-22;Value of Transactions Change %;Furniture;Total;17.510332387657172
2025-06-22;Value of Transactions Change %;Miscellaneous Goods and Services;Total;26.24981240945885
2025-06-22;Value of Transactions Change %;Beverage and Food;Total;24.11590368812823
2025-06-22;Value of Transactions Change %;Telecommunication;Total;38.70429662136444
2025-06-22;Number of Transactions (In Thousand);Total;ABHA;3482.0
2025-06-22;Number of Transactions Change %;Total;HAIL;15.629564709319311
2025-06-22;Number of Transactions Change %;Total;MAKKAH;7.508218277449047
2025-06-22;Number of Transactions Change %;Total;JEDDAH;7.667613285590813
2025-06-22;Value of Transactions (In Thousand SAR);Total;BURAIDAH;327746.0
2025-06-22;Number of Transactions (In Thousand);Health;Total;7604.0
2025-06-22;Number of Transactions (In Thousand);Public Utilities;Total;690.0
2025-06-22;Number of Transactions (In Thousand);Jewelry;Total;280.0
2025-06-22;Number of Transactions (In Thousand);Beverage and Food;Total;49632.0
2025-06-22;Number of Transactions Change %;Construction & Building Materials;Total;7.064160725858717
2025-06-22;Number of Transactions Change %;Hotels;Total;26.394052044609666
2025-06-22;Number of Transactions Change %;Public Utilities;Total;5.0228310502283104
2025-06-22;Number of Transactions Change %;Total;Total;8.611835348028759
2025-06-22;Value of Transactions Change %;Total;MADINA;27.71096563416536
2025-06-22;Number of Transactions (In Thousand);Construction & Building Materials;Total;1652.0
2025-06-22;Number of Transactions (In Thousand);Hotels;Total;680.0
2025-06-22;Number of Transactions Change %;Clothing and Footwear;Total;34.47900804872744
2025-06-22;Number of Transactions Change %;Gas Stations;Total;10.020502306509481
2025-06-22;Number of Transactions Change %;Jewelry;Total;26.69683257918552
2025-06-22;Number of Transactions Change %;Miscellaneous Goods and Services;Total;12.002794829565303
2025-06-22;Number of Transactions Change %;Recreation and Culture;Total;3.0454545454545454
2025-06-22;Number of Transactions Change %;Restaurants & Café;Total;7.9180049803313
2025-06-22;Number of Transactions Change %;Beverage and Food;Total;3.7284734994148137
2025-06-22;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;328047.0
2025-06-22;Value of Transactions (In Thousand SAR);Furniture;Total;268403.0
2025-06-22;Value of Transactions (In Thousand SAR);Hotels;Total;212495.0
2025-06-22;Value of Transactions (In Thousand SAR);Beverage and Food;Total;1989218.0
2025-06-22;Value of Transactions (In Thousand SAR);Telecommunication;Total;123899.0
2025-06-22;Value of Transactions Change %;Health;Total;17.876975021997314
2025-06-22;Value of Transactions Change %;Public Utilities;Total;28.75397001255632
2025-06-22;Number of Transactions (In Thousand);Total;TABOUK;4808.0
2025-06-22;Number of Transactions (In Thousand);Total;RIYADH;70307.0
2025-06-22;Number of Transactions Change %;Total;BURAIDAH;8.310070861069358
2025-06-22;Number of Transactions Change %;Total;RIYADH;7.557330151299585
2025-06-22;Value of Transactions (In Thousand SAR);Total;MAKKAH;471725.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;KHOBAR;385690.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;MADINA;515997.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;RIYADH;4683564.0
